"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","C/EO Legacy (National)","22312","25358","Operations Support Officer","115.14","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","C/EO Legacy (Spec Loc Pay Zone)","23307","27714","Operations Support Officer","33.73","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","D/HEO (London Other)","31079","35865","Operational Manager","31.09","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","D/HEO (National)","28307","32239","Operational Manager","226.94","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","D/HEO (Spec Loc Pay Zone)","28307","33914","Operational Manager","43.77","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","D/HEO Information Officer (National)","32998","36623","Operational Manager","0.60","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","D/HEO Legacy (National)","25805","31186","Operational Manager","3.34","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","D/HEO Legacy (Spec Loc Pay Zone)","27785","33347","Operational Manager","2.22","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","E/SEO (London Other)","35952","41594","Operational Manager","4.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","E/SEO (National)","32566","38700","Operational Manager","23.88","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","E/SEO (Spec Loc Pay Zone)","34668","41104","Operational Manager","7.92","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","F/G7 (London Other)","49309","60379","Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","F/G7 (National)","45905","56707","Operational Manager","10.26","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","F/G7 (Spec Loc Pay Zone)","48728","59879","Operational Manager","2.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","G/G6 (London Other)","60514","73936","Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Southern England","DWP41","G/G6 (National)","56706","69407","Operational Manager","4.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Scotland","DWP44","B/AO (National)","18478","19983","Team Member","102.01","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Scotland","DWP44","B/AO Legacy (National)","16845","19583","Team Member","21.24","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Scotland","DWP44","C/EO (National)","24476","26061","Team Member","899.74","Operational Delivery"
